region,rating,feedback,timestamp,satisfaction_score
North,4.2,"Great app, very useful","2024-08-01T10:00:00Z",8
South,3.8,"Good but could be better","2024-08-01T11:15:00Z",7
East,4.5,"Excellent features","2024-08-01T12:30:00Z",9
West,3.5,"Average experience","2024-08-01T13:45:00Z",6
Central,4.1,"Very satisfied","2024-08-01T14:00:00Z",8
North,4.0,"User-friendly interface","2024-08-02T09:30:00Z",8
South,3.9,"Fast and reliable","2024-08-02T10:45:00Z",7
East,4.3,"Love the new features","2024-08-02T11:20:00Z",9
West,3.7,"Could use improvements","2024-08-02T12:15:00Z",7
Central,4.4,"Outstanding performance","2024-08-02T13:30:00Z",9